업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
일반음식점,엉또토종닭샤브샤브,제주특별자치도 서귀포시 태평로537번길 3 (동홍동),제주특별자치도 서귀포시 동홍동 141번지 1호 ,33.2522356,126.5743413,2018-02-23
일반음식점,송원흑돼지,제주특별자치도 서귀포시 안덕면 사계남로 235,제주특별자치도 서귀포시 안덕면 사계리 1934번지 1호 ,33.2341098,126.3082372,2018-02-23
일반음식점,카페보말,제주특별자치도 서귀포시 대정읍 도원로 7,제주특별자치도 서귀포시 대정읍 신도리 3065번지 1호 ,33.2767255,126.1714121,2018-02-23
일반음식점,사계바다,제주특별자치도 서귀포시 안덕면 형제해안로 26,제주특별자치도 서귀포시 안덕면 사계리 2147번지 13호 1 2층 ,33.2278472,126.3039114,2018-02-23
일반음식점,참숯나라,제주특별자치도 서귀포시 신서로52번길 22 (강정동),제주특별자치도 서귀포시 강정동 148번지 8호 ,33.2551118,126.5068979,2018-02-23
일반음식점,흑사돈,제주특별자치도 서귀포시 표선면 표선동서로 269,제주특별자치도 서귀포시 표선면 표선리 500번지 1호 ,33.3275779,126.8341307,2018-02-23
일반음식점,온더스톤성산점,제주특별자치도 서귀포시 성산읍 성산등용로 100-4,제주특별자치도 서귀포시 성산읍 성산리 358번지 3호 ,33.4702577,126.930766,2018-02-23
일반음식점,표선우리네식당,제주특별자치도 서귀포시 표선면 표선중앙로96번길 5,제주특별자치도 서귀포시 표선면 표선리 634번지 25호 ,33.3252397,126.8340061,2018-02-23
일반음식점,또보레,제주특별자치도 서귀포시 일주서로 1150 (상예동),제주특별자치도 서귀포시 상예동 1724번지 3호 ,33.2647246,126.3906346,2018-02-23
일반음식점,올댓비어,제주특별자치도 서귀포시 대정읍 하모상가로 27,제주특별자치도 서귀포시 대정읍 하모리 945번지 1호 ,33.2216221,126.2518259,2018-02-23
일반음식점,폴에이리조트,제주특별자치도 서귀포시 월드컵로45번길 40 (법환동),제주특별자치도 서귀포시 법환동 978번지 ,33.2443564,126.5110873,2018-02-23
일반음식점,흑한우명품관별관,제주특별자치도 서귀포시 일주동로 8421 (토평동),제주특별자치도 서귀포시 토평동 262번지 1호 ,33.2572426,126.5885177,2018-02-23
일반음식점,마님해장국,제주특별자치도 서귀포시 표선면 일주동로 6291,제주특별자치도 서귀포시 표선면 세화리 1540번지 7호 ,33.3064252,126.7996335,2018-02-23
일반음식점,제주잔치집,제주특별자치도 서귀포시 중문로 90 (중문동),제주특별자치도 서귀포시 중문동 1378번지 1호 ,33.2590152,126.427508,2018-02-23
일반음식점,신시가지안성식당,제주특별자치도 서귀포시 김정문화로 69-1 (서호동),제주특별자치도 서귀포시 서호동 1477번지 5호 ,33.2508231,126.5121784,2018-02-23
